plot,stage,date,time,temp
1,3,7/4/2023,10:00:00,11.7
2,2,7/4/2023,10:00:00,10.2
1,1,7/4/2023,10:00:00,12.2
4,2,7/4/2023,10:00:00,14.8
5,1,7/4/2023,10:00:00,11.4
6,2,7/4/2023,10:00:00,15
7,3,7/4/2023,10:00:00,7.9
8,1,7/6/2023,10:40:00,8.6
9,3,7/6/2023,10:40:00,7.3
11,2,7/6/2023,10:40:00,7.4
12,1,7/6/2023,10:40:00,8.5
14,3,7/6/2023,10:40:00,10.7
12,3,7/11/2023,8:30:00,5.4
7,3,7/11/2023,8:30:00,4.7
6,2,7/11/2023,8:30:00,9.3
8,1,7/11/2023,8:30:00,3.6
9,3,7/11/2023,8:30:00,3.8
11,2,7/13/2023,12:18:00,NaN
12,3,7/13/2023,11:14:00,6.2
1,3,7/13/2023,11:20:00,6.8
4,2,7/13/2023,11:45:00,6
1,1,7/13/2023,11:56:00,5.8
5,1,7/13/2023,12:07:00,6.1
9,3,7/13/2023,12:35:00,5.4
8,1,7/13/2023,12:46:00,6.3
7,3,7/18/2023,11:30:00,4.5
6,2,7/18/2023,11:45:00,3.7
1,1,7/18/2023,12:03:00,4.2
4,2,7/20/2023,15:33:00,10.2
2,2,7/20/2023,15:44:00,9.12
1,3,7/20/2023,15:57:00,9.6
12,3,7/20/2023,16:11:00,8.2
11,2,7/20/2023,16:24:00,7.8
5,1,7/20/2023,16:35:00,7
8,1,7/20/2023,16:46:00,6.1
9,3,7/20/2023,16:56:00,5
6,2,7/20/2023,17:11:00,5.1
7,3,7/20/2023,17:21:00,4.7
1,3,8/25/2023,10:17:00,7.9
12,3,8/25/2023,10:32:00,6.7
2,2,8/25/2023,10:45:00,7.6
4,2,8/25/2023,10:56:00,6.8
1,1,8/25/2023,11:08:00,7.2
14,3,8/25/2023,11:21:00,6.9
7,3,8/25/2023,11:32:00,5.8
6,2,8/25/2023,11:40:00,3.7
8,1,8/25/2023,11:50:00,3.5
9,3,8/25/2023,12:00:00,4.7
5,2,8/25/2023,12:21:00,5
12,1,9/30/2023,9:53:00,8.9
1,1,9/30/2023,10:16:00,8.8
2,3,9/30/2023,10:29:00,8
1,2,9/30/2023,10:41:00,10.4
4,1,9/30/2023,10:54:00,9.6
5,2,9/30/2023,11:05:00,12.3
11,1,9/30/2023,11:17:00,12.4
8,2,9/30/2023,11:45:00,12.9
6,1,9/30/2023,12:06:00,12.3
7,2,9/30/2023,12:22:00,10.7
9,3,9/30/2023,12:52:00,8.9
14,3,9/30/2023,13:24:00,9.4
12,3,10/31/2023,10:30:00,15.4
1,1,10/31/2023,10:43:00,15.8
2,3,10/31/2023,10:54:00,13.1
1,2,10/31/2023,11:05:00,11.5
4,1,10/31/2023,12:06:00,10.5
5,2,10/31/2023,12:16:00,7.5
11,1,10/31/2023,12:29:00,9.1
9,1,10/31/2023,12:43:00,10.8
8,3,10/31/2023,12:53:00,12.9
6,1,10/31/2023,13:04:00,14.9
7,2,10/31/2023,13:16:00,13.5
14,3,10/31/2023,13:27:00,16.5
,3,,,
