plotn,stage,date,time,temp
1,3,7/4/2023,10:00:00,6.9
2,2,7/4/2023,10:00:00,6.7
1,1,7/4/2023,10:00:00,7.4
4,2,7/4/2023,10:00:00,7.3
5,1,7/4/2023,10:00:00,7.1
6,2,7/4/2023,10:00:00,6.9
7,3,7/4/2023,10:00:00,7.3
8,1,7/6/2023,10:40:00,8.2
9,3,7/6/2023,10:40:00,7.1
11,2,7/6/2023,10:40:00,7.6
12,1,7/6/2023,10:40:00,8.5
14,3,7/6/2023,10:40:00,8.6
12,3,7/11/2023,8:30:00,5.5
7,3,7/11/2023,8:30:00,5.8
6,2,7/11/2023,8:30:00,6
8,1,7/11/2023,8:30:00,6.6
9,3,7/11/2023,8:30:00,5.3
11,2,7/13/2023,12:18:00,NaN
12,3,7/13/2023,11:14:00,6.5
1,3,7/13/2023,11:20:00,5.7
4,2,7/13/2023,11:45:00,6.3
1,1,7/13/2023,11:56:00,6.1
5,1,7/13/2023,12:07:00,6.2
9,3,7/13/2023,12:35:00,5.7
8,1,7/13/2023,12:46:00,6.1
7,3,7/18/2023,11:30:00,5
6,2,7/18/2023,11:45:00,5.7
1,1,7/18/2023,12:03:00,5.8
4,2,7/20/2023,15:33:00,5.5
2,2,7/20/2023,15:44:00,5.2
1,3,7/20/2023,15:57:00,5.2
12,3,7/20/2023,16:11:00,5
11,2,7/20/2023,16:24:00,5.1
5,1,7/20/2023,16:35:00,5.3
8,1,7/20/2023,16:46:00,5.5
9,3,7/20/2023,16:56:00,4.1
6,2,7/20/2023,17:11:00,5.1
7,3,7/20/2023,17:21:00,4.9
1,3,8/25/2023,10:17:00,5.3
12,3,8/25/2023,10:32:00,6
2,2,8/25/2023,10:45:00,5.9
4,2,8/25/2023,10:56:00,6
1,1,8/25/2023,11:08:00,6.3
14,3,8/25/2023,11:21:00,5.2
7,3,8/25/2023,11:32:00,5.9
6,2,8/25/2023,11:40:00,5.5
8,1,8/25/2023,11:50:00,5.3
9,3,8/25/2023,12:00:00,5.2
5,2,8/25/2023,12:21:00,6.1
12,1,9/30/2023,9:53:00,7.5
1,1,9/30/2023,10:16:00,7.8
2,3,9/30/2023,10:29:00,7.6
1,2,9/30/2023,10:41:00,7.6
4,1,9/30/2023,10:54:00,8
5,2,9/30/2023,11:05:00,7.9
11,1,9/30/2023,11:17:00,7.1
8,2,9/30/2023,11:45:00,7.6
6,1,9/30/2023,12:06:00,7.7
7,2,9/30/2023,12:22:00,7.6
9,3,9/30/2023,12:52:00,7.9
14,3,9/30/2023,13:24:00,8.3
12,3,10/31/2023,10:30:00,7.7
1,1,10/31/2023,10:43:00,8
2,3,10/31/2023,10:54:00,7.9
1,2,10/31/2023,11:05:00,8.3
4,1,10/31/2023,12:06:00,8.1
5,2,10/31/2023,12:16:00,8
11,1,10/31/2023,12:29:00,7.7
9,1,10/31/2023,12:43:00,7.9
8,3,10/31/2023,12:53:00,7
6,1,10/31/2023,13:04:00,8
7,2,10/31/2023,13:16:00,7.4
14,3,10/31/2023,13:27:00,7.7
